date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:14:51	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-65c4dee6-8758b20670fa3418;gz%22	https://www.spygram.com.br/robots.txt		(from )
15:14:52	4221/4221	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Apr%202025%2018:15:51%20GMT	https://www.spygram.com.br/	C:/Meus%20Sites/webspy/www.spygram.com.br/index.html	(from )
15:14:52	267230/267230	---M-Z	200	added ('OK')	image/x-icon	etag:%22413de-67c13d81-c3413dfbaa958e77;gz%22	https://www.spygram.com.br/_assets/images/favicon.ico	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/images/favicon.ico	(from https://www.spygram.com.br/)
15:14:52	85875/85875	---MCZ	200	added ('OK')	text/css	etag:W/%2214f73-BDozLk9VXMC/015FG+lVtLk5ZqA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	C:/Meus%20Sites/webspy/cdn.jsdelivr.net/npm/bootstrap-icons@1.11.3/font/bootstrap-icons.min.css	(from https://www.spygram.com.br/)
15:14:52	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-67c13d81-a25871991251a12d;gz%22	https://www.spygram.com.br/_assets/libs/bootstrap-5.0.2/css/bootstrap.min.css	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/libs/bootstrap-5.0.2/css/bootstrap.min.css	(from https://www.spygram.com.br/)
15:14:52	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-67c13d81-8beec548042fdbb0;gz%22	https://www.spygram.com.br/_assets/libs/aos-2.3.1/css/aos.min.css	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/libs/aos-2.3.1/css/aos.min.css	(from https://www.spygram.com.br/)
15:14:53	14366/14366	---M-Z	200	added ('OK')	text/css	etag:%22381e-67c13d7e-a7c246dfd2ef6a9c;gz%22	https://www.spygram.com.br/_styles/global.css?version=1.03	C:/Meus%20Sites/webspy/www.spygram.com.br/_styles/global7033.css	(from https://www.spygram.com.br/)
15:14:53	60089/60089	---M-Z	200	added ('OK')	application/x-javascript	etag:%22eab9-67c13d80-5f789e43deec29c8;gz%22	https://www.spygram.com.br/_assets/libs/bootstrap-5.0.2/js/bootstrap.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/libs/bootstrap-5.0.2/js/bootstrap.min.js	(from https://www.spygram.com.br/)
15:14:53	14239/14239	---M-Z	200	added ('OK')	application/x-javascript	etag:%22379f-67c13d81-4fa77dcb6ab6580e;gz%22	https://www.spygram.com.br/_assets/libs/aos-2.3.1/js/aos.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/libs/aos-2.3.1/js/aos.min.js	(from https://www.spygram.com.br/)
15:14:53	87532/87532	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ec-67c13d7e-7fa5805ffdf9d39b;gz%22	https://www.spygram.com.br/_assets/libs/jquery-3.7.1/js/jquery.min.js	C:/Meus%20Sites/webspy/www.spygram.com.br/_assets/libs/jquery-3.7.1/js/jquery.min.js	(from https://www.spygram.com.br/)
